NO,DOMAIN,ACCEPT_TITLE,ACCEPT_DETAIL,ACCEPT_AFTER,REAPPRAISAL_TITLE,REAPPRAISAL_DETAIL,REAPPRAISAL_AFTER,REFOCUS_TITLE,REFOCUS_DETAIL,REFOCUS_AFTER,HELPFUL_1,HELPFUL_2,HELPFUL_3,UNHELPFUL_1,UNHELPFUL_2,UNHELPFUL_3
22,연인2,불쑥 밀려든 씁쓸함과 신경 쓰임을 곁에 둬요,"연인의 이성친구 식사 소식에 마음 한구석이 찌릿하고 서운해진 그 기분을 이상하거나 속좁게 여기지 마세요. 쿨해져야 한다는 압박을 내려놓고, 지금 내 안에 찾아온 신경 쓰임의 잔물결을 있는 그대로 머물게 해주세요.","쿨한 척하려 애쓰지 말고, 불쑥 솟구친 신경 쓰임을 그대로 머물게 둬야겠어.",솔직한 생각에 대해 말을 트는 신호예요,"미리 상의하지 않고 말한 것은 연인이 백설이를 속이려 한 게 아니라 편한 사이라 솔직하게 알린 것일 수 있어요. 이 상황을 서운함의 계기가 아니라, 서로의 이성친구 기준에 대해 솔직하게 대화할 좋은 기회로 바라봐 보세요.",나를 속이려 한 게 아니라 숨김없이 말해 준 거였네. 대화로 내 마음 기준을 잘 나눠봐야지.,내가 편해질 표현 방식을 정리해 보아요,"마음속으로만 끙끙 앓기보다는, 다음번 대화 때 나를 해하지 않으면서 내 마음을 전달할 문장을 정리해 보세요. ""다음엔 미리 말해줬으면 좋겠어""처럼 내가 바라는 점을 솔직하고 담담하게 써 두면 한결 마음이 정돈돼요.","혼자 속상해하지 말고, 다음에 솔직하게 부탁할 문장을 하나 정리해 둬야겠어.",상대 입장이 이해됨,지금 감정을 알아차림,무엇부터 할지 분명해짐,상대에겐 통하지 않음,마음이 편해지지 않음,상황에 맞지 않음
23,연인3,술자리 소식에 일렁이는 밤의 초조함을 감싸요,이성친구가 있는 술자리라는 말에 머릿속이 복잡해지고 온갖 궁금함이 밀려드는 밤의 감정을 무리하게 누르지 마세요. 불안하고 서운해서 마음이 둥둥 뜨는 그 상태 자체를 내버려 두고 가만히 지켜보아도 괜찮아요.,"밤새 들썩이던 궁금함과 초조함, 억지로 가라앉히려 하지 말고 그냥 내버려 둘래.",나에게 일정을 먼저 밝혀 준 신뢰예요,연인이 이성친구가 있는 자리임을 숨기지 않고 미리 공유한 것은 백설이를 솔직하게 대하고 있다는 뜻이에요. 세세하게 캐묻지 않아도 나를 배려해 사실대로 말해 준 연인의 신뢰를 기억하며 마음의 부담을 내려놓아 보세요.,이성친구가 있다고 속이지 않고 미리 말해 준 건 나를 믿고 솔직하게 대한 거였어.,내일 아침 해야 할 중요 일정을 정리해요,"연인의 술자리가 몇 시에 끝날지 신경 쓰며 밤을 새우기보다, 내일 아침 가장 먼저 처리할 업무나 일과 3가지를 다이어리에 써보세요. 내일의 일상 계획으로 시선을 돌릴 때 불필요한 밤의 조바심을 훨씬 빠르게 정리할 수 있어요.","연인 술자리 연락만 바라보지 말고, 내일 아침 처리할 일 3가지부터 적어야겠어.",감정을 편안하게 해줌,상대 입장이 이해됨,시작해 볼 마음이 생김,마음이 편해지지 않음,너무 이상적임,어떻게 할지 막막함
24,연인4,마음이 꽉 막힌 듯한 답답한 무게를 그냥 둬요,따지듯 묻는 연인 앞에서 가슴이 답답하고 내 감정이 검증당하는 것 같았던 억울함을 억지로 해명하려 들지 마세요. 상처받고 막막해진 마음의 멍울을 판단 없이 가만히 바라보고 감싸쥐어 주세요.,"꽉 막히고 억울했던 그 묵직한 기분, 억지로 털어내지 않고 가만히 놔둬 보자.",문제를 명확히 해결하고 싶은 성향이에요,"연인이 논리적으로 따져 묻는 것은 백설이의 감정을 부정하려는 것이 아니라, 상황을 정확히 이해해 문제를 해결하려는 방식일 수 있어요. 나를 공격하려는 게 아니라 대화 방식이 다를 뿐임을 떠올리면 덜 억울해져요.",나를 깎아내리려는 게 아니라 문제를 정확히 해결하고 싶어서 질문을 던진 거였어.,공감이 필요하다는 마음을 직접 말해봐요,"논쟁에 말려들어 해명하려 애쓰기보다 ""지금은 해결책보다 내 마음을 들어주면 좋겠어""라고 요청의 방향을 바꿔보세요. 대화의 목적을 '옳고 그름'에서 '마음 공유'로 다시 설정해 주는 한 마디가 답답한 흐름을 바꿔줘요.","논리 싸움을 하지 말고, 해결보다 따뜻한 공감이 필요하다고 분명히 말해야겠어.",상대 입장이 이해됨,지금 감정을 알아차림,무엇부터 할지 분명해짐,상대에겐 통하지 않음,공감되지 않음,어떻게 할지 막막함
25,연인5,허전함이 밀려온 마음의 틈을 그대로 인정해요,"예전 같지 않은 옷차림을 보며 내 마음에 툭 떨어진 서운함과 허전한 틈을 소심하다며 자책할 필요 없어요. 서운함을 털어버려야 한다는 조급함 없이, 지금 내 가슴에 일어난 작은 섭섭함의 온도를 가만히 느껴보세요.","내 마음에 툭 떨어진 허전한 틈, 억지로 덮지 말고 그 온도를 가만히 느껴보자.",백설이 앞에서 비로소 편안해진 거예요,"연인의 달라진 옷차림은 백설이에 대한 애정이 식었다는 신호라기보다, 백설이라는 존재를 그만큼 안전하고 편안하게 느끼고 있다는 증거예요. 긴장을 내려놓을 수 있을 만큼 깊어진 신뢰의 표현으로 바라볼 수 있어요.","마음이 식은 게 아니라, 나를 긴장 완화하고 쉴 수 있는 사람으로 여겨서 편하게 온 거였어.",함께 드레스코드를 정해 데이트해요,"혼자 속으로 비교하고 속상해하기보다, 다음 데이트에는 ""이번엔 예쁘게 차려입고 가보자""며 함께 테마를 정해 보세요. 작은 이벤트를 직접 제안하는 행동이 데이트의 설렘을 다시 불러오는 좋은 출발점이 돼요.","혼자 서운해하지 말고, 다음엔 근사한 곳에 맞춰 입고 가자고 먼저 제안해보자.",상황을 달리 보게 됨,감정을 편안하게 해줌,시작해 볼 마음이 생김,너무 이상적임,상대에겐 통하지 않음,상황에 맞지 않음
26,연인6,위로받고 싶어 휘청이던 마음을 다독여요,힘들 때 연인의 말 한마디에 기분이 널뛰고 스스로 나약하게 느껴지더라도 그 부끄러움을 숨기려 애쓰지 마세요. 누군가에게 의지하고 싶어 하는 인간적인 흔들림을 멍에처럼 짊어지지 말고 있는 그대로 다독여 주세요.,"연인 반응에 휘청이던 내 나약함, 겉으로 숨기려 하지 말고 따뜻하게 감싸줘야지.",마음을 털어놓을 대상이 있다는 뜻이에요,"연인에게 힘듦을 털어놓는 것은 의존적인 나약함이 아니라, 백설이가 소중한 사람과 삶의 감정을 나눌 줄 아는 건강한 연결감을 가졌다는 증거예요. 관계 안에서 위로를 바라는 것은 아주 자연스럽고 당당한 마음이에요.","내가 의존적인 게 아니라, 내 마음을 나눌 수 있는 소중한 연인이 있다는 뜻이었어.",내 기분을 전환할 구체적 미션을 수행해요,"연인의 답장 속도에 온 신경을 쏟기보다, 지금 신발을 신고 집 앞 편의점에 다녀오거나 신나는 음악을 틀고 방 청소를 시작해 보세요. 몸을 직접 움직여 작은 미션을 완수해 내는 경험이 연인에게 쏠려 있던 감정의 무게를 내 쪽으로 가져와 줘요.","연인 연락에 갇혀있지 말고, 신나는 음악 틀고 청소 미션부터 완료해보자.",나를 덜 탓하게 됨,감정을 편안하게 해줌,시작해 볼 마음이 생김,공감되지 않음,너무 이상적임,문제는 그대로 남음
27,연인7,혼자만 다가가는 것 같은 헛헛함을 내버려 둬요,늘 먼저 데이트를 제안하며 마음 한쪽이 쓸쓸해지고 헛헛해졌던 기분을 억지로 밝게 바꿀 필요는 없어요. 이 관계에서 더 많이 표현하느라 지쳐있는 내 서운한 표정을 있는 그대로 짚어보는 것으로 충분해요.,"먼저 다가가다 헛헛해진 기분, 억지로 밝은 척 바꾸지 말고 그대로 둬 봐야지.",백설이의 적극성이 관계를 이끌고 있어요,"먼저 약속을 잡는 모습은 백설이가 이 관계를 진심으로 애정하고 있음을 보여주는 멋진 태도예요. 연인의 표현 방식이 다를 뿐, 백설이의 적극적인 다가감 덕분에 두 사람의 인연이 풍성하게 이어지고 있다는 긍정의 눈으로 바라봐 봐요.","내가 일방적인 게 아니라, 내 따뜻한 적극성 덕분에 우리가 만나고 있는 거였어.",주말에 나를 위한 약속을 세워요,"이번에도 먼저 데이트를 제안할지 고민하기보다, 주말 하루는 평소 만나고 싶었던 친구나 혼자 즐길 수 있는 문화생활 일정을 먼저 확정해 보세요. 내 주말 일정을 내 손으로 빠르게 채워 넣는 행동이 서운한 기다림의 구도를 바꿔줘요.","매번 먼저 약속 잡지 말고, 이번엔 내 일정을 채우면서 연인에게 자리를 비워주자.",지금 감정을 알아차림,상대 입장이 이해됨,시작해 볼 마음이 생김,상대에겐 통하지 않음,마음이 편해지지 않음,공감되지 않음
28,연인8,웅크려 있던 내 외로움의 서운함을 알아차려요,피곤하다는 말에 이해해 주려 애쓰면서도 마음 한구석에 웅크리고 있던 외로움과 섭섭함을 외면하지 마세요. 양보하고 참아내느라 그늘진 내 마음의 감정선을 비난 없이 다정하게 들여다봐 주는 것이 먼저예요.,"이해하느라 참아왔던 내 외로운 섭섭함, 모른 척 지나치지 말고 다정하게 들여다보자.",서로의 에너지를 충전하는 시기예요,"피곤해하는 연인의 태도는 백설이에 대한 마음이 변했다기보다, 일상의 과부하로 에너지가 소진된 상태를 나타내는 신호예요. 관계가 식은 것이 아니라 각자의 지친 일상을 조용히 견뎌내는 시기라고 바라보면 마음이 편안해져요.","나한테 소홀해진 게 아니라, 연인의 체력이 많이 깎여서 일상을 견디는 중이었어.",상대에게 다정한 응원 한마디를 건네세요,"연락 속도에 연연하며 마음을 태우기보다 ""오늘 많이 피곤하지? 힘내""라고 짧고 다정한 메시지를 보낸 뒤 내 할 일로 돌아가세요. 부담 없는 응원을 건네고 나에게 집중하는 행동이 서운한 기다림의 고리를 깔끔하게 끊어줘요.","답장 기다리며 조급해하지 말고, 다정한 응원 한마디 전하고 내 할 일에 집중하자.",상대 입장이 이해됨,감정을 편안하게 해줌,무엇부터 할지 분명해짐,마음이 편해지지 않음,상대에겐 통하지 않음,너무 이상적임
29,연인9,김이 팍 새어버린 주말의 아쉬움을 받아들여요,"기대했던 주말 데이트가 연인의 휴식으로 가로막혔을 때 김이 팍 새고 씁쓸해진 마음을 쿨하게 포장하지 마세요. 기대가 컸던 만큼 찾아온 섭섭함의 크기를 인정하고, 그 씁쓸한 마음이 스스로 진정될 때까지 기다려 주세요.","기대했다가 김이 팍 샌 마음, 쿨한 척 포장하지 말고 씁쓸한 채로 놔둬야겠어",우리 관계가 휴식이 되었다는 증거예요,"연인이 주말에 쉬고 싶다고 솔직하게 표현한 것은 백설이에게 자신의 지친 모습을 편하게 보여줄 수 있을 만큼 깊이 신뢰한다는 뜻이에요. 백설이가 요구가 과한 게 아니라, 서로의 휴식 방식을 맞추어 가는 성숙한 과정으로 바라봐 보세요",내가 요구가 많은 게 아니었어. 연인도 나한테 편하게 쉬고 싶다고 말할 만큼 신뢰하는 거였지.,주말에 나만을 위한 알찬 휴식을 계획해요,"데이트가 무산되었다고 방안에 갇혀있지 말고, 사고 싶었던 책을 사러 서점에 가거나 좋아하는 운동을 다녀오세요. 내가 주도하여 나만의 알찬 주말 일정을 직접 수행해 나갈 때 씁쓸했던 서운함이 금세 활력으로 채워져요.","방에서 우울해하지 말고, 사고 싶던 책 사러 서점으로 당장 나가봐야겠어.",지금 감정을 알아차림,상대 입장이 이해됨,시작해 볼 마음이 생김,너무 이상적임,상황에 맞지 않음,마음이 편해지지 않음
30,연인10,기대가 어긋나 무거워진 마음의 자리를 인정해요,"특별한 날을 가볍게 넘기는 모습에 씁쓸하고 텅 빈 것 같았던 그 마음의 무게를 억지로 없애려 하지 마세요. 내가 관계의 의미를 더 깊게 두고 싶어 했다는 사실을 알아차리고, 어긋난 기대에서 온 무거움을 가만히 수용해 보세요.","텅 빈 것 같았던 허전함과 무거운 마음, 억지로 없애려 하지 않고 자리를 내어주자.",특별함에 대한 표현 방식이 다른 거예요,"연인이 기념일을 가볍게 보낸다고 해서 두 사람의 관계를 가치 없게 여기는 것은 아니에요. 특정 날짜를 챙기는 형태보다 일상의 소소한 순간을 소중히 여기는 등, 서로 애정을 표현하는 방식과 온도가 다를 뿐임을 떠올려 보세요.",사랑이 식은 게 아니라 기념일을 바라보는 표현의 차이였어. 일상을 아끼는 방식일 수도 있지.,내가 원하는 기념일 축하를 제안해 봐요,"알아서 챙겨주길 바라며 눈치 주기보다 ""우리 이번 특별한 날엔 작은 케이크 하나 켜자""처럼 구체적인 축하 방식을 먼저 알려주세요. 백설이가 원하는 가벼운 축하 이벤트를 직접 행동으로 옮기는 것이 마음의 헛헛함을 지우는 가장 직관적인 길이에요","혼자 허전해하지 말고, 이번 주말에 소소하게 축하하자고 내가 먼저 제안해야겠어.",상대 입장이 이해됨,지금 감정을 알아차림,무엇부터 할지 분명해짐,상대에겐 통하지 않음,상황에 맞지 않음,너무 이상적임
31,일상1,사라진 하루를 미워하지 않아도 괜찮아요,"계획과 달리 하루가 흘러가면 아쉽고 자책하는 마음이 남을 수 있어요. 그 마음을 없애거나 하루를 망쳤다고 판단하지 말고, ‘지금 많이 아쉽구나’라고 알아차려 보세요.","오늘이 마음에 안 들었다는 것, 그냥 그대로 두기로 했어.",흘려보낸 시간에도 남은 것이 있어요,휴대폰과 집안일에 쓴 시간을 모두 버린 시간으로 보면 하루 전체가 실패처럼 느껴져요. 미뤄 둔 집안일이 줄고 잠시 쉬었던 시간도 오늘의 일부예요.,아무것도 안 한 하루는 아니었네. 남은 일도 생각보다 크지 않아.,지금 손댈 수 있는 한 가지만 골라요,"못 한 일을 전부 만회하려 하지 말고, 십 분이면 끝나는 일 하나만 골라 지금 시작하세요. 내일 아침 먼저 할 일도 하나만 적어 두면 충분해요.","다 만회하려 하지 말고, 십 분짜리 하나만 해보자.",나를 덜 탓하게 됨,부담이 작게 느껴짐,무엇부터 할지 분명해짐,문제는 그대로 남음,상황에 맞지 않음,어떻게 할지 막막함
32,일상2,늦은 뒤에 남은 마음을 먼저 살펴봐요,약속에 늦으면 미안함과 민망함이 한꺼번에 올라올 수 있어요. 괜찮은 척 감추기보다 ‘지금 미안하고 위축됐구나’라고 불편한 마음을 그대로 알아차려 보세요.,"아직 민망하지만, 이 마음을 숨기느라 더 애쓰지는 않아도 돼.",늦었다는 사실과 나에 대한 평가는 달라요,"약속에 늦었다는 사실과 상대가 나를 한심하게 보았다는 생각은 달라요. 이번 지각은 준비와 이동 시간을 충분히 잡지 못한 사건이지, 관계를 소홀히 여겼다는 증거는 아니에요.","늦은 건 사실이지만, 상대를 소중히 여기지 않은 건 아니야.",약속 시각에서 준비 시작을 거꾸로 계산해요,"약속 시각에서 이동과 준비 시간을 거꾸로 빼서 준비 시작 알람을 정하세요. 필요한 물건은 전날 한곳에 모으고, 출발 전에는 하던 일을 멈추도록 알람에 적어 두세요.","도착 시간만 보지 말고, 준비를 시작할 시간을 먼저 정해 두자.",나를 덜 탓하게 됨,지금 감정을 알아차림,무엇부터 할지 분명해짐,문제는 그대로 남음,공감되지 않음,상황에 맞지 않음
33,일상3,더 어질러진 방을 보며 답답해도 괜찮아요,"정리를 시작했는데 방이 더 어수선해지면 답답하고 짜증이 날 수 있어요. 그 마음을 넘기지 말고, ‘끝내지 못해 막막하고 속상하구나’라고 그대로 알아차려 보세요.",방을 볼 때마다 막막하고 속상했구나. 그 마음부터 인정해도 돼.,끝나지 않은 정리가 모두 실패는 아니에요,"방이 더 어질러진 것은 정리를 못해서가 아니라 옷과 서랍, 오래된 물건까지 범위가 넓어진 결과일 수 있어요. 아직 끝나지 않은 상태와 정리 능력이 없다는 평가는 달라요.","정리를 못하는 사람이어서가 아니라, 범위를 너무 넓게 펼친 거였어.",한 구역만 원래 상태로 되돌려요,"옷과 서랍 중 한 구역만 고르고 10분 타이머를 맞추세요. 다른 물건은 임시 상자에 넣고, 선택한 구역이 끝나기 전에는 새로운 서랍을 열지 마세요.",방 전체가 아니라 옷 한 구역만 끝내고 멈추자.,무엇부터 할지 분명해짐,부담이 작게 느껴짐,나를 덜 탓하게 됨,어떻게 할지 막막함,마음이 편해지지 않음,이미 알던 이야기임
34,일상4,찾지 못하는 초조함을 그대로 알아차려요,중요한 물건이 보이지 않으면 초조함과 짜증이 빠르게 커질 수 있어요. 당장 침착하려 애쓰기보다 ‘시간은 가는데 찾지 못해 불안하구나’라고 마음을 알아차려 보세요.,못 찾을까 봐 초조하고 화도 났구나. 이 마음이 드는 건 어쩔 수 없어.,물건의 행방과 나의 가치는 다른 문제예요,지금 확인된 사실은 물건의 위치가 기억나지 않는다는 것이에요. 물건의 행방을 모른다고 내가 물건을 소홀히 여기거나 늘 덤벙대는 사람이라는 뜻은 아니에요.,"지금 물건의 위치를 모르는 거지, 내가 형편없는 사람인 건 아니야.",마지막 사용 시점부터 한 방향으로 찾아요,"물건을 마지막으로 사용한 시점부터 동선을 적어 보세요. 가방, 책상, 현관처럼 세 구역을 한 번씩 확인하고, 정한 시간이 지나면 분실 신고나 일정 조정으로 넘어가세요.",마지막으로 쓴 순간부터 세 곳만 차례대로 확인하자.,무엇부터 할지 분명해짐,감정을 편안하게 해줌,나를 덜 탓하게 됨,문제는 그대로 남음,상황에 맞지 않음,마음이 편해지지 않음
35,일상5,잔액을 본 허탈함을 외면하지 않아도 돼요,"예상보다 적은 잔액을 보면 허탈함과 불안, 부끄러움이 함께 생길 수 있어요. 결제 내역을 덮어 피하기보다 ‘돈이 줄어 걱정되고 속상하구나’라고 알아차려 보세요.",잔액을 보니 불안하고 허탈했구나. 이 마음을 모른 척하지는 말자.,작은 지출의 합계는 나에 대한 평가가 아니에요,자잘한 소비가 쌓였다는 사실이 내가 절제력 없는 사람이라는 뜻은 아니에요. 결제 내역은 이번 달 어떤 상황에서 작은 지출이 반복됐는지 보여주는 기록이에요.,"내가 절제력 없는 사람인 게 아니라, 작은 지출이 쌓이는 흐름이 있었던 거야.",결제 내역을 세 가지 묶음으로 나눠 봐요,"이번 달 결제를 고정비, 필요한 지출, 선택한 지출로 나누세요. 선택한 지출에서 가장 자주 반복된 항목 하나를 찾고, 다음 일주일에 쓸 금액을 정해 보세요.","모든 소비를 고치려 하지 말고, 반복된 한 항목부터 조정해 보자.",상황을 달리 보게 됨,무엇부터 할지 분명해짐,나를 덜 탓하게 됨,문제는 그대로 남음,이미 알던 이야기임,공감되지 않음
36,일상6,쫓기는 하루의 버거움을 인정해도 괜찮아요,"계획이 연달아 밀리면 압박감과 짜증, 허탈함이 함께 생길 수 있어요. 빨리 따라잡으려 감정을 밀어내지 말고, ‘계속 쫓기는 느낌이라 지쳤구나’라고 알아차려 보세요.",열심히 하고 싶었지만 너무 빽빽해서 지쳤구나. 버거울 만했어.,일정이 밀린 건 의지가 부족해서가 아니에요,"일정이 밀렸다는 것은 의지가 부족하다는 증거가 아니에요. 이동과 준비, 예상하지 못한 변수를 담을 여백이 일정표에 조금 부족했다는 뜻일 수 있어요.","내가 열심히 안 한 게 아니라, 일정에 여백이 거의 없었던 거야.",남은 일정에서 한 가지를 먼저 덜어내요,"밀린 일정을 모두 따라잡으려 하지 말고, 오늘 꼭 필요한 일정 하나만 남기세요. 나머지는 미루거나 줄이고, 일정 사이에 20분의 이동·준비 시간을 넣어 보세요.","다 지키려 하지 말고, 하나를 덜어 내서 숨 쉴 틈부터 만들자.",부담이 작게 느껴짐,지금 감정을 알아차림,시작해 볼 마음이 생김,상황에 맞지 않음,어떻게 할지 막막함,마음이 편해지지 않음
37,일상7,사고 싶은 설렘도 결제 뒤의 허탈함도 보여요,"갖고 싶은 물건을 보면 설렘과 조급함이 커지고, 결제 뒤에는 허탈함이 남을 수 있어요. ‘사고 싶어 들떴고 지금은 후회되는구나’라고 두 마음을 함께 알아차려 보세요.",살 때는 설렜고 지금은 후회되는구나. 두 마음이 같이 있어도 돼.,사고 싶은 마음과 실제 필요는 달라요,할인이나 품절 가능성이 떠오르면 지금 사야 한다는 생각이 사실처럼 느껴질 수 있어요. 그러나 기회를 놓칠 것 같은 마음과 실제 필요성은 서로 다른 판단이에요.,급하게 사고 싶은 마음과 정말 필요한지는 따로 볼 수 있겠어.,결제 전에 장바구니에서 하루를 기다려요,사고 싶은 물건은 바로 결제하지 말고 가격과 함께 24시간 대기 목록에 적으세요. 다음 날 이미 가진 물건과 사용할 시점을 확인한 뒤 예산 안에서 다시 결정하세요.,일단 목록에 적고 하루 뒤에 다시 결정하자. 지금 결제하지 않아도 돼.,지금 감정을 알아차림,상황을 달리 보게 됨,시작해 볼 마음이 생김,너무 이상적임,이미 알던 이야기임,상황에 맞지 않음
38,일상8,기대했던 만큼 실망스러운 마음도 자연스러워요,"원하던 모습과 결과가 다르면 실망과 속상함, 성급했다는 민망함이 함께 생길 수 있어요. 괜찮다고 넘기지 말고, ‘기대가 컸던 만큼 속상하구나’라고 알아차려 보세요.",기대했던 모습과 달라서 정말 속상했구나. 바로 괜찮아질 필요는 없어.,오늘의 결과가 내 모습 전체를 망친 건 아니에요,"사진과 결과가 다르다고 내 모습 전체가 망가진 것은 아니에요. 참고 사진의 조명과 손질 방식이 다르고, 낯선 스타일이라 더 어색하게 느껴질 수도 있어요.","지금 낯설고 마음에 안 드는 부분이 있는 거지, 전부 망한 건 아니야.",바로 다시 바꾸기 전에 수정할 점을 적어요,"바로 다른 시술을 예약하지 말고 마음에 들지 않는 부분을 길이, 색, 손질처럼 두 가지로 적으세요. 미용실에 수정 범위와 필요한 대기 시간을 문의한 뒤 결정하세요.","당장 또 예약하지 말고, 무엇을 고치고 싶은지부터 두 가지로 적자.",감정을 편안하게 해줌,상황을 달리 보게 됨,시작해 볼 마음이 생김,공감되지 않음,너무 이상적임,이미 알던 이야기임
39,일상9,또 잃어버린 짜증과 허탈함을 인정해요,"우산을 또 잃어버리면 짜증과 허탈함, 민망함이 오래 남을 수 있어요. 큰일이 아니라고 감정을 줄이기보다 ‘반복돼서 더 속상하고 화가 나는구나’라고 알아차려 보세요.",우산 하나 때문이 아니라 같은 일이 반복돼서 더 속상했던 거야.,우산을 놓친 일이 무관심을 뜻하지는 않아요,비가 그치면 우산을 챙겨야 한다는 단서도 함께 약해질 수 있어요. 반복된 분실은 물건을 소홀히 여겨서가 아니라 주의가 다른 곳으로 옮겨간 결과일 수 있어요.,"물건을 아끼지 않아서가 아니라, 비가 그치면 챙길 단서도 사라졌던 거야.",자리를 뜨는 순간 우산을 확인하게 만들어요,"우산 손잡이를 가방에 연결하고 잠금화면에 ‘휴대폰·지갑·우산’을 적어 두세요. 자리를 떠날 때 세 가지를 확인하고, 집에서는 현관의 한 자리에만 우산을 두세요.","비가 그친 뒤 기억하려 애쓰기보다, 나갈 때 보이는 단서를 만들어 두자.",나를 덜 탓하게 됨,무엇부터 할지 분명해짐,상황을 달리 보게 됨,이미 알던 이야기임,어떻게 할지 막막함,상황에 맞지 않음
40,일상10,사라진 시간 앞의 죄책감도 그대로 바라봐요,"잠깐 보려던 휴대폰에 한 시간을 쓰면 당황함과 죄책감, 막막함이 밀려올 수 있어요. 그 마음을 덮지 말고, ‘시간을 놓쳐 불안하고 아쉽구나’라고 알아차려 보세요.",시간을 놓친 게 아쉽고 불안했구나. 이 마음을 굳이 덮지는 말자.,흐름을 놓친 한 시간이 하루 전체는 아니에요,알림에서 영상과 쇼핑 앱으로 이어졌다고 집중력이 전혀 없는 것은 아니에요. 추천 콘텐츠에 흐름을 놓친 한 시간과 오늘 전체가 실패했다는 판단은 달라요.,"한 시간의 흐름을 놓친 거지, 오늘을 전부 잃어버린 건 아니야.",휴대폰을 치우고 첫 단계만 십 분 시작해요,휴대폰을 손이 닿지 않는 곳에 두고 방해 금지 모드를 10분만 켜세요. 계획표 대신 원래 하려던 일의 첫 단계만 남기고 타이머가 끝날 때까지 진행하세요.,"잃어버린 시간을 만회하려 하지 말고, 휴대폰을 치운 뒤 십 분만 시작하자.",나를 덜 탓하게 됨,시작해 볼 마음이 생김,부담이 작게 느껴짐,너무 이상적임,어떻게 할지 막막함,문제는 그대로 남음
